,Char,x0,x1,width,y0,y1,height
278,o,262.92526999999984,266.99226999999985,4.067000000000007,39.57959,46.57959,7.0
279,n,266.78226999999987,270.65326999999985,3.870999999999981,39.57959,46.57959,7.0
280,s,270.44326999999987,273.36226999999985,2.9189999999999827,39.57959,46.57959,7.0
281,u,273.0892699999999,276.96726999999987,3.877999999999986,39.57959,46.57959,7.0
282,m,276.7572699999999,282.69326999999987,5.935999999999979,39.57959,46.57959,7.0
283,u,282.4832699999999,286.3612699999999,3.877999999999986,39.57959,46.57959,7.0
284,l,286.1512699999999,287.6422699999999,1.4909999999999854,39.57959,46.57959,7.0
285,u,287.4322699999999,291.3102699999999,3.877999999999986,39.57959,46.57959,7.0
286,i,291.1002699999999,292.5912699999999,1.4909999999999854,39.57959,46.57959,7.0
287, ,292.3812699999999,294.2012699999999,1.8199999999999932,39.57959,46.57959,7.0
288,p,293.99126999999993,298.0302699999999,4.038999999999987,39.57959,46.57959,7.0
289,e,297.82026999999994,301.71926999999994,3.899000000000001,39.57959,46.57959,7.0
290,r,301.50926999999996,303.96626999999995,2.4569999999999936,39.57959,46.57959,7.0
291,s,303.55327,306.47227,2.9189999999999827,39.57959,46.57959,7.0
292,o,306.19227,310.25927,4.067000000000007,39.57959,46.57959,7.0
293,n,310.04927000000004,313.92027,3.870999999999981,39.57959,46.57959,7.0
294,a,313.70327000000003,317.74227,4.038999999999987,39.57959,46.57959,7.0
295,l,317.53227000000004,319.02327,1.4909999999999854,39.57959,46.57959,7.0
296,.,318.81327000000005,320.21327,1.3999999999999773,39.57959,46.57959,7.0
297, ,320.00327000000004,321.82327000000004,1.8199999999999932,39.57959,46.57959,7.0
298,T,321.61327000000006,325.9322700000001,4.319000000000017,39.57959,46.57959,7.0
299,o,324.8752700000001,328.9422700000001,4.067000000000007,39.57959,46.57959,7.0
300,a,328.73227000000014,332.77127000000013,4.038999999999987,39.57959,46.57959,7.0
301,t,332.56127000000015,335.36827000000017,2.8070000000000164,39.57959,46.57959,7.0
302,e,335.0182700000002,338.9172700000002,3.899000000000001,39.57959,46.57959,7.0
303, ,338.7072700000002,340.5272700000002,1.8199999999999932,39.57959,46.57959,7.0
304,i,340.31727000000024,341.8082700000002,1.4909999999999854,39.57959,46.57959,7.0
305,m,341.59827000000024,347.5342700000002,5.935999999999979,39.57959,46.57959,7.0
306,a,347.31727000000024,351.3562700000002,4.038999999999987,39.57959,46.57959,7.0
307,g,351.14627000000024,355.14327000000026,3.997000000000014,39.57959,46.57959,7.0
308,i,354.9332700000003,356.42427000000026,1.4909999999999854,39.57959,46.57959,7.0
309,n,356.2142700000003,360.08527000000026,3.870999999999981,39.57959,46.57959,7.0
310,i,359.8752700000003,361.36627000000027,1.4909999999999854,39.57959,46.57959,7.0
311,l,361.1562700000003,362.6472700000003,1.4909999999999854,39.57959,46.57959,7.0
312,e,362.4372700000003,366.3362700000003,3.899000000000001,39.57959,46.57959,7.0
313, ,366.1262700000003,367.9462700000003,1.8199999999999932,39.57959,46.57959,7.0
314,s,367.73627000000033,370.6552700000003,2.9189999999999827,39.57959,46.57959,7.0
315,u,370.38227000000035,374.26027000000033,3.877999999999986,39.57959,46.57959,7.0
316,n,374.05027000000035,377.92127000000033,3.870999999999981,39.57959,46.57959,7.0
317,t,377.5152700000003,380.32227000000034,2.8070000000000164,39.57959,46.57959,7.0
318, ,380.11227000000036,381.93227000000036,1.8199999999999932,39.57959,46.57959,7.0
319,c,381.7222700000004,385.1452700000004,3.423000000000002,39.57959,46.57959,7.0
